sentence,depth,length_words,type
The curious neighbor spoke softly near the station.,0,8,synthetic_center_embedding
The nervous student that the angry actor that the tall lawyer that the serious child that the tall student thanked saw recognized recognized slept peacefully yesterday.,4,26,synthetic_center_embedding
The kind doctor that the serious manager warned cried suddenly at the office.,1,13,synthetic_center_embedding
The angry singer cried suddenly.,0,5,synthetic_center_embedding
The angry engineer sat calmly this morning.,0,7,synthetic_center_embedding
The old doctor that the old boy reminded worked quietly at the office.,1,13,synthetic_center_embedding
The clever cat that the kind neighbor called stood silently near the station.,1,13,synthetic_center_embedding
The kind teacher that the happy singer that the clever child that the serious actor supported watched watched walked slowly.,3,20,synthetic_center_embedding
The young teacher that the serious driver that the tall child thanked praised slept peacefully.,2,15,synthetic_center_embedding
The clever singer laughed loudly after dinner.,0,7,synthetic_center_embedding
The young dog rested briefly near the station.,0,8,synthetic_center_embedding
The engineer that the tall dog recognized smiled warmly at the office.,1,12,synthetic_center_embedding
The curious girl slept peacefully at night.,0,7,synthetic_center_embedding
The happy student smiled warmly after dinner.,0,7,synthetic_center_embedding
The kind father that the curious girl that the happy farmer followed informed worked quietly at night.,2,17,synthetic_center_embedding
The curious doctor that the old student greeted walked slowly this morning.,1,12,synthetic_center_embedding
The kind father that the tall singer followed rested briefly this morning.,1,12,synthetic_center_embedding
The serious farmer that the clever actor that the angry neighbor that the clever singer that the angry girl called followed watched called walked slowly at night.,4,27,synthetic_center_embedding
The kind father that the clever doctor that the quiet girl that the serious actor that the curious doctor called watched praised reminded cried suddenly at night.,4,27,synthetic_center_embedding
The curious neighbor arrived early after dinner.,0,7,synthetic_center_embedding
The mother that the happy doctor that the cat helped blamed waited outside after dinner.,2,15,synthetic_center_embedding
The serious actor that the nervous scientist that the nervous mother that the kind singer that the serious actor recognized chased helped called smiled warmly at the office.,4,28,synthetic_center_embedding
The quiet driver that the quiet student praised sat calmly.,1,10,synthetic_center_embedding
The quiet farmer that the clever engineer that the quiet singer visited praised laughed loudly after dinner.,2,17,synthetic_center_embedding
The dog waited outside this morning.,0,6,synthetic_center_embedding
The clever boy that the curious artist that the old mother admired met sat calmly this morning.,2,17,synthetic_center_embedding
The serious farmer smiled warmly in the garden.,0,8,synthetic_center_embedding
The angry scientist that the old student that the kind teacher that the young child that the kind lawyer visited questioned thanked supported ran away yesterday.,4,26,synthetic_center_embedding
The nervous actor that the nervous driver blamed worked quietly before noon.,1,12,synthetic_center_embedding
The quiet student that the quiet father helped cried suddenly during class.,1,12,synthetic_center_embedding
The clever manager that the clever girl blamed walked slowly.,1,10,synthetic_center_embedding
The serious girl that the quiet dog that the quiet artist visited helped smiled warmly before noon.,2,17,synthetic_center_embedding
The tall driver slept peacefully.,0,5,synthetic_center_embedding
The quiet artist that the young artist that the curious child that the angry girl that the kind student praised questioned met praised sat calmly this morning.,4,27,synthetic_center_embedding
The old student rested briefly in the garden.,0,8,synthetic_center_embedding
The quiet child that the quiet lawyer that the serious singer that the old actor recognized recognized reminded walked slowly after dinner.,3,22,synthetic_center_embedding
The angry doctor that the curious girl admired arrived early in the garden.,1,13,synthetic_center_embedding
The angry artist that the old neighbor reminded cried suddenly during class.,1,12,synthetic_center_embedding
The nervous student that the young actor that the tall dog that the old doctor that the nervous actor recognized praised blamed supported listened closely yesterday.,4,26,synthetic_center_embedding
The happy student that the kind neighbor questioned walked slowly in the garden.,1,13,synthetic_center_embedding
The old girl that the tall mother that the child that the engineer that the angry singer saw visited met admired sat calmly at night.,4,25,synthetic_center_embedding
The kind neighbor listened closely near the station.,0,8,synthetic_center_embedding
The curious driver that the clever girl recognized waited outside at night.,1,12,synthetic_center_embedding
The serious manager that the tall neighbor that the angry neighbor reminded greeted rested briefly.,2,15,synthetic_center_embedding
The angry neighbor that the kind student saw laughed loudly near the station.,1,13,synthetic_center_embedding
The curious farmer that the kind student questioned sat calmly in the garden.,1,13,synthetic_center_embedding
The old child that the clever lawyer that the angry actor that the young driver that the serious scientist admired helped encouraged called slept peacefully near the station.,4,28,synthetic_center_embedding
The kind driver that the quiet mother that the happy teacher that the happy artist greeted watched reminded worked quietly yesterday.,3,21,synthetic_center_embedding
The old lawyer that the manager visited spoke softly this morning.,1,11,synthetic_center_embedding
The quiet actor that the young girl that the serious manager that the serious driver watched met watched waited outside after dinner.,3,22,synthetic_center_embedding
The clever manager that the driver that the nervous father that the tall actor that the kind farmer that the happy manager questioned saw supported called warned stood silently in the garden.,5,32,synthetic_center_embedding
The nervous doctor that the kind neighbor that the old girl visited watched worked quietly during class.,2,17,synthetic_center_embedding
The nervous mother that the young child that the quiet boy that the kind scientist that the kind child that the quiet girl greeted supported informed praised called arrived early.,5,30,synthetic_center_embedding
The happy engineer that the kind mother that the serious girl chased admired laughed loudly yesterday.,2,16,synthetic_center_embedding
The happy singer that the nervous cat that the quiet cat that the curious engineer that the clever child chased admired questioned praised cried suddenly at night.,4,27,synthetic_center_embedding
The old scientist that the happy student that the young girl watched praised read carefully before noon.,2,17,synthetic_center_embedding
The angry driver worked quietly before noon.,0,7,synthetic_center_embedding
The serious manager that the kind boy that the happy manager called followed cried suddenly in the garden.,2,18,synthetic_center_embedding
The quiet student that the actor that the quiet cat that the kind singer chased recognized encouraged slept peacefully at night.,3,21,synthetic_center_embedding
The kind teacher that the kind scientist that the tall father that the happy cat that the happy child reminded greeted saw visited smiled warmly before noon.,4,27,synthetic_center_embedding
The young child that the young teacher that the clever child that the nervous singer helped reminded blamed stood silently.,3,20,synthetic_center_embedding
The boy stood silently in the garden.,0,7,synthetic_center_embedding
The tall mother slept peacefully yesterday.,0,6,synthetic_center_embedding
The nervous scientist that the nervous singer called slept peacefully in the garden.,1,13,synthetic_center_embedding
The old farmer that the tall child that the tall father that the tall artist informed called called cried suddenly.,3,20,synthetic_center_embedding
The happy neighbor that the serious doctor that the young girl that the happy driver that the dog informed encouraged chased visited slept peacefully at night.,4,26,synthetic_center_embedding
The young actor worked quietly during class.,0,7,synthetic_center_embedding
The angry singer rested briefly before noon.,0,7,synthetic_center_embedding
The quiet boy that the happy teacher that the nervous manager informed followed walked slowly before noon.,2,17,synthetic_center_embedding
The young driver that the tall driver that the serious girl that the old student that the clever father supported warned chased thanked ran away in the garden.,4,28,synthetic_center_embedding
The driver that the kind doctor that the serious student that the kind lawyer admired thanked encouraged slept peacefully before noon.,3,21,synthetic_center_embedding
The curious scientist that the angry doctor followed worked quietly at the office.,1,13,synthetic_center_embedding
The clever singer that the nervous scientist recognized smiled warmly near the station.,1,13,synthetic_center_embedding
The student that the clever scientist praised stood silently near the station.,1,12,synthetic_center_embedding
The tall neighbor that the tall girl questioned worked quietly before noon.,1,12,synthetic_center_embedding
The kind child that the angry student that the singer that the young child questioned reminded admired ran away at the office.,3,22,synthetic_center_embedding
The old father that the quiet girl that the nervous neighbor blamed warned spoke softly.,2,15,synthetic_center_embedding
The serious lawyer arrived early.,0,5,synthetic_center_embedding
The kind artist slept peacefully in the garden.,0,8,synthetic_center_embedding
The curious girl cried suddenly.,0,5,synthetic_center_embedding
The old student listened closely before noon.,0,7,synthetic_center_embedding
The tall artist that the serious neighbor that the angry teacher that the old girl that the old farmer helped thanked warned helped read carefully near the station.,4,28,synthetic_center_embedding
The angry artist that the quiet engineer that the old dog that the young doctor that the clever mother reminded admired encouraged greeted listened closely during class.,4,27,synthetic_center_embedding
The happy neighbor sat calmly yesterday.,0,6,synthetic_center_embedding
The curious artist that the clever engineer that the angry student thanked followed smiled warmly during class.,2,17,synthetic_center_embedding
The happy child that the nervous actor that the engineer watched chased arrived early.,2,14,synthetic_center_embedding
The serious neighbor that the serious father that the clever singer that the tall singer that the old mother called questioned admired recognized slept peacefully in the garden.,4,28,synthetic_center_embedding
The nervous actor read carefully this morning.,0,7,synthetic_center_embedding
The happy scientist cried suddenly after dinner.,0,7,synthetic_center_embedding
The young lawyer that the young girl that the happy driver blamed saw walked slowly after dinner.,2,17,synthetic_center_embedding
The nervous teacher that the doctor that the old mother that the young driver that the serious doctor greeted encouraged met saw slept peacefully during class.,4,26,synthetic_center_embedding
The tall artist that the quiet driver helped read carefully before noon.,1,12,synthetic_center_embedding
The young farmer that the quiet singer that the old farmer informed blamed sat calmly at night.,2,17,synthetic_center_embedding
The serious dog that the happy singer that the serious girl that the quiet father that the old father met recognized saw supported read carefully near the station.,4,28,synthetic_center_embedding
The young singer that the kind singer that the happy doctor warned praised read carefully yesterday.,2,16,synthetic_center_embedding
The quiet child that the old engineer that the happy cat admired followed walked slowly at the office.,2,18,synthetic_center_embedding
The tall teacher listened closely.,0,5,synthetic_center_embedding
The kind neighbor that the old neighbor that the tall mother that the doctor that the student that the tall father praised met called admired thanked smiled warmly.,5,28,synthetic_center_embedding
The old student that the happy singer that the curious mother that the happy cat supported supported watched read carefully after dinner.,3,22,synthetic_center_embedding
The curious teacher listened closely yesterday.,0,6,synthetic_center_embedding
The child that the angry engineer that the kind cat met warned listened closely after dinner.,2,16,synthetic_center_embedding
The curious boy that the serious father that the doctor blamed questioned waited outside yesterday.,2,15,synthetic_center_embedding
The happy dog that the happy doctor visited walked slowly in the garden.,1,13,synthetic_center_embedding
The kind driver that the quiet artist called slept peacefully near the station.,1,13,synthetic_center_embedding
The happy driver that the clever cat that the serious teacher recognized watched read carefully at night.,2,17,synthetic_center_embedding
The clever lawyer that the curious doctor that the young lawyer informed admired read carefully in the garden.,2,18,synthetic_center_embedding
The serious doctor that the nervous singer that the clever manager that the young lawyer called praised reminded listened closely.,3,20,synthetic_center_embedding
The tall father that the quiet dog that the happy singer praised called cried suddenly before noon.,2,17,synthetic_center_embedding
The kind boy that the curious lawyer that the happy singer that the curious girl that the happy actor greeted greeted informed recognized ran away yesterday.,4,26,synthetic_center_embedding
The angry farmer that the quiet boy that the nervous farmer that the curious scientist greeted recognized praised ran away.,3,20,synthetic_center_embedding
The driver that the curious teacher that the young manager supported blamed cried suddenly yesterday.,2,15,synthetic_center_embedding
The clever doctor walked slowly.,0,5,synthetic_center_embedding
The happy farmer that the angry singer that the nervous engineer that the farmer that the old student warned questioned followed saw spoke softly during class.,4,26,synthetic_center_embedding
The tall boy that the curious farmer that the kind engineer that the happy lawyer informed watched warned walked slowly at night.,3,22,synthetic_center_embedding
The curious father that the kind actor saw smiled warmly yesterday.,1,11,synthetic_center_embedding
The old scientist that the serious driver that the kind neighbor that the clever dog that the tall child that the tall singer admired praised followed helped helped worked quietly at night.,5,32,synthetic_center_embedding
The clever boy that the clever boy that the nervous manager that the young cat that the tall child warned saw chased helped slept peacefully this morning.,4,27,synthetic_center_embedding
The curious dog that the serious singer that the old farmer watched called listened closely after dinner.,2,17,synthetic_center_embedding
The curious boy that the serious child questioned spoke softly during class.,1,12,synthetic_center_embedding
The happy farmer that the nervous cat that the quiet engineer that the serious cat reminded supported watched spoke softly at night.,3,22,synthetic_center_embedding
The nervous student waited outside after dinner.,0,7,synthetic_center_embedding
The quiet scientist slept peacefully yesterday.,0,6,synthetic_center_embedding
The angry manager that the old student that the happy student recognized thanked cried suddenly during class.,2,17,synthetic_center_embedding
The clever teacher sat calmly after dinner.,0,7,synthetic_center_embedding
The serious dog spoke softly in the garden.,0,8,synthetic_center_embedding
The young cat that the serious scientist that the quiet dog praised called waited outside during class.,2,17,synthetic_center_embedding
The clever cat worked quietly near the station.,0,8,synthetic_center_embedding
The curious engineer that the young child that the nervous child reminded recognized stood silently during class.,2,17,synthetic_center_embedding
The curious father that the nervous artist that the nervous dog that the old driver that the clever actor reminded praised followed blamed laughed loudly during class.,4,27,synthetic_center_embedding
The kind dog arrived early this morning.,0,7,synthetic_center_embedding
The curious teacher that the young doctor that the kind mother that the old artist called supported informed slept peacefully yesterday.,3,21,synthetic_center_embedding
The tall doctor that the young engineer that the scientist helped followed smiled warmly at night.,2,16,synthetic_center_embedding
The curious doctor that the clever scientist visited listened closely at night.,1,12,synthetic_center_embedding
The nervous actor that the curious engineer informed walked slowly this morning.,1,12,synthetic_center_embedding
The farmer that the young artist that the quiet cat that the quiet actor that the happy singer admired met met blamed rested briefly in the garden.,4,27,synthetic_center_embedding
The mother slept peacefully near the station.,0,7,synthetic_center_embedding
The old manager laughed loudly at the office.,0,8,synthetic_center_embedding
The young teacher that the nervous father helped read carefully this morning.,1,12,synthetic_center_embedding
The kind child that the clever child that the quiet artist that the old student encouraged encouraged questioned rested briefly near the station.,3,23,synthetic_center_embedding
The clever neighbor stood silently this morning.,0,7,synthetic_center_embedding
The happy dog sat calmly at the office.,0,8,synthetic_center_embedding
The clever artist that the clever boy that the clever teacher supported visited sat calmly this morning.,2,17,synthetic_center_embedding
The curious farmer that the kind farmer that the happy student that the serious girl called blamed recognized cried suddenly at the office.,3,23,synthetic_center_embedding
The old boy that the happy singer that the angry doctor that the kind mother watched questioned called laughed loudly during class.,3,22,synthetic_center_embedding
The clever actor sat calmly at night.,0,7,synthetic_center_embedding
The nervous student that the quiet neighbor that the kind lawyer that the quiet lawyer warned informed blamed walked slowly after dinner.,3,22,synthetic_center_embedding
The old father that the quiet father that the young teacher that the kind dog thanked thanked warned ran away near the station.,3,23,synthetic_center_embedding
The actor smiled warmly during class.,0,6,synthetic_center_embedding
The angry lawyer that the nervous doctor that the old student called greeted smiled warmly near the station.,2,18,synthetic_center_embedding
The curious teacher that the clever dog that the young artist questioned blamed ran away.,2,15,synthetic_center_embedding
The old manager cried suddenly this morning.,0,7,synthetic_center_embedding
The nervous mother waited outside after dinner.,0,7,synthetic_center_embedding
The quiet neighbor that the curious cat questioned worked quietly during class.,1,12,synthetic_center_embedding
The happy engineer that the clever doctor that the quiet teacher that the kind farmer followed greeted visited waited outside yesterday.,3,21,synthetic_center_embedding
The serious girl that the tall girl that the kind dog informed informed arrived early in the garden.,2,18,synthetic_center_embedding
The tall girl listened closely before noon.,0,7,synthetic_center_embedding
The angry child arrived early yesterday.,0,6,synthetic_center_embedding
The kind neighbor that the neighbor met rested briefly after dinner.,1,11,synthetic_center_embedding
The singer that the serious manager that the happy mother that the old teacher reminded blamed thanked arrived early yesterday.,3,20,synthetic_center_embedding
The engineer that the curious scientist chased spoke softly after dinner.,1,11,synthetic_center_embedding
The serious child that the happy singer that the serious dog that the clever artist informed chased greeted laughed loudly before noon.,3,22,synthetic_center_embedding
The old student laughed loudly at the office.,0,8,synthetic_center_embedding
The clever mother that the nervous cat that the old teacher supported met stood silently.,2,15,synthetic_center_embedding
The angry singer that the happy father that the kind teacher that the kind lawyer that the tall mother called followed praised watched stood silently before noon.,4,27,synthetic_center_embedding
The kind scientist that the curious lawyer met listened closely in the garden.,1,13,synthetic_center_embedding
The serious artist laughed loudly this morning.,0,7,synthetic_center_embedding
The young child spoke softly at night.,0,7,synthetic_center_embedding
The doctor worked quietly.,0,4,synthetic_center_embedding
The nervous actor that the nervous cat admired ran away during class.,1,12,synthetic_center_embedding
The tall teacher ran away at the office.,0,8,synthetic_center_embedding
The quiet student spoke softly at the office.,0,8,synthetic_center_embedding
The happy child ran away at the office.,0,8,synthetic_center_embedding
The serious child that the lawyer that the kind boy that the clever dog chased encouraged questioned rested briefly yesterday.,3,20,synthetic_center_embedding
The student that the tall neighbor watched sat calmly after dinner.,1,11,synthetic_center_embedding
The young teacher that the serious student that the young teacher reminded warned listened closely at night.,2,17,synthetic_center_embedding
The young dog that the tall teacher visited stood silently near the station.,1,13,synthetic_center_embedding
The young engineer waited outside yesterday.,0,6,synthetic_center_embedding
The nervous neighbor rested briefly after dinner.,0,7,synthetic_center_embedding
The young lawyer that the angry father that the tall doctor that the serious doctor that the kind father recognized watched questioned praised worked quietly.,4,25,synthetic_center_embedding
The angry mother that the serious singer that the angry child questioned praised slept peacefully in the garden.,2,18,synthetic_center_embedding
The curious child that the nervous farmer that the scientist praised visited rested briefly this morning.,2,16,synthetic_center_embedding
The angry farmer that the engineer that the curious doctor that the angry neighbor helped reminded recognized sat calmly near the station.,3,22,synthetic_center_embedding
The serious girl spoke softly at the office.,0,8,synthetic_center_embedding
The curious neighbor that the happy singer that the angry teacher reminded helped smiled warmly at the office.,2,18,synthetic_center_embedding
The kind scientist smiled warmly.,0,5,synthetic_center_embedding
The serious girl that the young teacher that the clever boy supported questioned waited outside.,2,15,synthetic_center_embedding
The dog listened closely in the garden.,0,7,synthetic_center_embedding
The clever teacher that the clever mother that the kind child that the serious manager thanked admired thanked ran away at night.,3,22,synthetic_center_embedding
The clever boy laughed loudly at night.,0,7,synthetic_center_embedding
The curious driver worked quietly in the garden.,0,8,synthetic_center_embedding
The happy scientist cried suddenly in the garden.,0,8,synthetic_center_embedding
The angry teacher that the young neighbor that the nervous doctor that the young driver blamed recognized questioned arrived early this morning.,3,22,synthetic_center_embedding
The serious boy that the tall father that the tall student warned informed stood silently before noon.,2,17,synthetic_center_embedding
The clever doctor that the kind engineer supported spoke softly at night.,1,12,synthetic_center_embedding
The happy teacher sat calmly.,0,5,synthetic_center_embedding
The singer that the angry engineer greeted walked slowly at night.,1,11,synthetic_center_embedding
The angry lawyer that the nervous singer that the angry doctor informed encouraged stood silently yesterday.,2,16,synthetic_center_embedding
The tall actor that the tall father followed walked slowly near the station.,1,13,synthetic_center_embedding
The old teacher that the happy child that the curious engineer that the happy artist saw reminded admired sat calmly.,3,20,synthetic_center_embedding
The young boy that the curious farmer that the clever doctor encouraged met slept peacefully this morning.,2,17,synthetic_center_embedding
The curious student that the quiet lawyer that the nervous singer that the quiet boy that the angry boy that the serious actor encouraged watched admired followed supported read carefully before noon.,5,32,synthetic_center_embedding
The serious dog listened closely yesterday.,0,6,synthetic_center_embedding
The happy boy that the tall engineer that the old student that the clever student blamed praised helped smiled warmly at the office.,3,23,synthetic_center_embedding
The quiet child that the nervous engineer that the curious dog that the serious doctor that the clever doctor chased greeted blamed questioned worked quietly this morning.,4,27,synthetic_center_embedding
The quiet father that the curious mother that the serious girl that the angry doctor questioned warned met slept peacefully in the garden.,3,23,synthetic_center_embedding
The tall teacher rested briefly.,0,5,synthetic_center_embedding
The clever actor that the teacher that the serious manager questioned followed slept peacefully yesterday.,2,15,synthetic_center_embedding
The clever driver that the angry singer informed slept peacefully.,1,10,synthetic_center_embedding
The young child that the angry neighbor helped waited outside during class.,1,12,synthetic_center_embedding
The kind neighbor spoke softly.,0,5,synthetic_center_embedding
The serious mother that the clever engineer recognized worked quietly at the office.,1,13,synthetic_center_embedding
The curious neighbor waited outside at the office.,0,8,synthetic_center_embedding
The young boy that the tall singer informed smiled warmly in the garden.,1,13,synthetic_center_embedding
The curious cat that the father encouraged ran away after dinner.,1,11,synthetic_center_embedding
The angry teacher laughed loudly at the office.,0,8,synthetic_center_embedding
The old neighbor that the young girl that the doctor helped blamed cried suddenly after dinner.,2,16,synthetic_center_embedding
The curious boy that the serious mother that the boy that the kind scientist warned greeted helped smiled warmly during class.,3,21,synthetic_center_embedding
The curious student that the old scientist thanked cried suddenly after dinner.,1,12,synthetic_center_embedding
The young cat that the lawyer that the old doctor that the young student that the serious cat that the old child praised questioned recognized helped warned laughed loudly at the office.,5,32,synthetic_center_embedding
The serious mother smiled warmly near the station.,0,8,synthetic_center_embedding
The old father rested briefly during class.,0,7,synthetic_center_embedding
The curious manager that the quiet doctor that the clever neighbor greeted called listened closely in the garden.,2,18,synthetic_center_embedding
The curious cat slept peacefully during class.,0,7,synthetic_center_embedding
The happy manager that the happy doctor that the old singer recognized admired arrived early this morning.,2,17,synthetic_center_embedding
The tall singer worked quietly during class.,0,7,synthetic_center_embedding
The quiet father that the kind boy that the curious lawyer blamed saw sat calmly after dinner.,2,17,synthetic_center_embedding
The young mother stood silently yesterday.,0,6,synthetic_center_embedding
The serious girl laughed loudly during class.,0,7,synthetic_center_embedding
The curious artist stood silently.,0,5,synthetic_center_embedding
The kind cat that the happy lawyer saw sat calmly at night.,1,12,synthetic_center_embedding
The old farmer slept peacefully after dinner.,0,7,synthetic_center_embedding
The nervous farmer that the tall child that the kind artist saw recognized listened closely during class.,2,17,synthetic_center_embedding
The young child that the happy farmer that the old child that the nervous girl that the young actor recognized encouraged supported followed worked quietly this morning.,4,27,synthetic_center_embedding
The tall manager that the happy driver that the curious mother met recognized arrived early at night.,2,17,synthetic_center_embedding
The serious teacher that the quiet lawyer that the nervous manager chased greeted laughed loudly at night.,2,17,synthetic_center_embedding
The quiet student that the old manager that the old boy that the young driver praised encouraged called cried suddenly this morning.,3,22,synthetic_center_embedding
The quiet neighbor that the nervous actor that the old girl that the kind student that the serious farmer saw informed visited watched slept peacefully yesterday.,4,26,synthetic_center_embedding
The serious cat that the happy scientist that the kind scientist that the young doctor chased saw questioned spoke softly.,3,20,synthetic_center_embedding
The nervous artist that the serious boy that the clever artist that the angry lawyer that the girl that the old father greeted visited warned blamed supported laughed loudly near the station.,5,32,synthetic_center_embedding
The young driver that the clever singer that the farmer that the happy boy that the clever student recognized blamed supported questioned slept peacefully at the office.,4,27,synthetic_center_embedding
The nervous driver rested briefly yesterday.,0,6,synthetic_center_embedding
The happy neighbor walked slowly yesterday.,0,6,synthetic_center_embedding
The kind engineer that the tall girl that the young boy that the serious teacher helped called helped worked quietly at night.,3,22,synthetic_center_embedding
The angry neighbor read carefully near the station.,0,8,synthetic_center_embedding
The tall actor waited outside at the office.,0,8,synthetic_center_embedding
The clever driver that the kind student that the kind father admired informed laughed loudly in the garden.,2,18,synthetic_center_embedding
The clever mother that the old farmer reminded cried suddenly before noon.,1,12,synthetic_center_embedding
The happy neighbor laughed loudly yesterday.,0,6,synthetic_center_embedding
The old singer that the angry artist that the curious child that the happy student called questioned warned read carefully at the office.,3,23,synthetic_center_embedding
The quiet manager that the serious mother greeted arrived early.,1,10,synthetic_center_embedding
The angry father that the serious dog that the manager that the young engineer greeted blamed saw listened closely during class.,3,21,synthetic_center_embedding
The happy manager that the clever student that the young father that the nervous scientist that the old teacher helped saw encouraged chased worked quietly yesterday.,4,26,synthetic_center_embedding
The kind lawyer that the angry boy that the kind farmer that the clever driver called watched chased walked slowly after dinner.,3,22,synthetic_center_embedding
The old neighbor laughed loudly after dinner.,0,7,synthetic_center_embedding
The tall lawyer that the happy boy that the kind singer that the quiet cat that the serious actor reminded admired greeted reminded slept peacefully in the garden.,4,28,synthetic_center_embedding
The young lawyer waited outside at night.,0,7,synthetic_center_embedding
The happy lawyer that the happy engineer supported waited outside at night.,1,12,synthetic_center_embedding
The driver that the serious neighbor that the old driver that the child that the old mother that the kind driver met chased watched reminded watched listened closely in the garden.,5,31,synthetic_center_embedding
The nervous boy that the angry engineer that the serious teacher that the angry student that the young scientist that the angry lawyer followed supported reminded blamed chased cried suddenly at the office.,5,33,synthetic_center_embedding
The young cat that the serious teacher that the curious girl that the quiet actor that the tall neighbor that the manager supported reminded informed watched informed listened closely at the office.,5,32,synthetic_center_embedding
The young cat that the kind teacher that the tall driver that the serious neighbor helped helped followed waited outside this morning.,3,22,synthetic_center_embedding
The cat worked quietly in the garden.,0,7,synthetic_center_embedding
The old dog that the happy boy reminded arrived early near the station.,1,13,synthetic_center_embedding
The nervous artist that the serious student saw stood silently near the station.,1,13,synthetic_center_embedding
The kind girl that the clever neighbor that the kind child questioned reminded rested briefly in the garden.,2,18,synthetic_center_embedding
The cat that the farmer greeted stood silently this morning.,1,10,synthetic_center_embedding
The tall teacher slept peacefully during class.,0,7,synthetic_center_embedding
The curious neighbor that the happy lawyer that the young singer that the angry lawyer reminded warned helped ran away at the office.,3,23,synthetic_center_embedding
The young cat that the kind lawyer helped stood silently yesterday.,1,11,synthetic_center_embedding
The angry father that the angry manager encouraged slept peacefully in the garden.,1,13,synthetic_center_embedding
The tall dog slept peacefully before noon.,0,7,synthetic_center_embedding
The kind boy spoke softly yesterday.,0,6,synthetic_center_embedding
The father that the kind artist that the neighbor that the angry manager that the tall driver thanked blamed greeted recognized ran away after dinner.,4,25,synthetic_center_embedding
The clever child that the cat that the curious scientist that the curious artist that the kind father that the tall boy watched encouraged greeted informed visited read carefully at night.,5,31,synthetic_center_embedding
The serious lawyer that the serious singer that the serious lawyer that the kind boy warned admired recognized read carefully.,3,20,synthetic_center_embedding
The serious singer that the actor that the nervous scientist that the nervous doctor followed blamed met rested briefly during class.,3,21,synthetic_center_embedding
The serious scientist that the old boy thanked laughed loudly near the station.,1,13,synthetic_center_embedding
The old engineer that the happy lawyer that the curious manager chased thanked slept peacefully at night.,2,17,synthetic_center_embedding
The clever manager cried suddenly after dinner.,0,7,synthetic_center_embedding
The happy manager that the kind actor called listened closely at the office.,1,13,synthetic_center_embedding
The young farmer that the young manager visited cried suddenly in the garden.,1,13,synthetic_center_embedding
The angry student arrived early near the station.,0,8,synthetic_center_embedding
The quiet engineer that the happy lawyer that the quiet artist warned chased read carefully.,2,15,synthetic_center_embedding
The angry neighbor that the serious driver that the old actor that the tall manager that the happy farmer that the serious artist blamed watched called helped questioned smiled warmly at night.,5,32,synthetic_center_embedding
The tall neighbor rested briefly before noon.,0,7,synthetic_center_embedding
The nervous singer that the kind neighbor encouraged read carefully at the office.,1,13,synthetic_center_embedding
The old teacher that the artist that the tall engineer reminded chased slept peacefully this morning.,2,16,synthetic_center_embedding
The happy child worked quietly in the garden.,0,8,synthetic_center_embedding
The serious mother that the happy neighbor that the young manager praised praised worked quietly this morning.,2,17,synthetic_center_embedding
The angry student that the old cat that the nervous cat that the curious singer that the young lawyer helped called reminded admired sat calmly before noon.,4,27,synthetic_center_embedding
The old manager arrived early yesterday.,0,6,synthetic_center_embedding
The old student listened closely at the office.,0,8,synthetic_center_embedding
The kind father that the quiet boy that the dog that the girl that the quiet child greeted called encouraged helped laughed loudly at night.,4,25,synthetic_center_embedding
The tall scientist that the clever driver that the nervous engineer that the farmer that the serious boy supported informed supported chased worked quietly after dinner.,4,26,synthetic_center_embedding
The angry lawyer that the young doctor that the angry actor thanked informed read carefully this morning.,2,17,synthetic_center_embedding
The tall neighbor that the quiet driver that the serious farmer helped praised slept peacefully after dinner.,2,17,synthetic_center_embedding
The nervous farmer laughed loudly yesterday.,0,6,synthetic_center_embedding
The kind mother that the happy cat that the serious cat reminded recognized read carefully near the station.,2,18,synthetic_center_embedding
The nervous child that the clever boy helped laughed loudly at the office.,1,13,synthetic_center_embedding
The kind father worked quietly during class.,0,7,synthetic_center_embedding
The clever lawyer that the clever actor that the kind scientist reminded saw cried suddenly at night.,2,17,synthetic_center_embedding
The old singer that the serious lawyer that the angry cat watched visited stood silently.,2,15,synthetic_center_embedding
The angry driver that the old scientist that the nervous engineer that the tall student that the cat encouraged met chased supported laughed loudly in the garden.,4,27,synthetic_center_embedding
The old doctor that the young doctor called listened closely at night.,1,12,synthetic_center_embedding
The angry dog that the angry lawyer visited worked quietly near the station.,1,13,synthetic_center_embedding
The curious driver laughed loudly near the station.,0,8,synthetic_center_embedding
The happy artist smiled warmly before noon.,0,7,synthetic_center_embedding
The clever neighbor that the quiet doctor that the happy teacher that the serious driver that the young father thanked recognized questioned met smiled warmly this morning.,4,27,synthetic_center_embedding
The child worked quietly.,0,4,synthetic_center_embedding
The curious singer that the clever cat that the serious engineer informed questioned spoke softly.,2,15,synthetic_center_embedding
The angry teacher that the curious lawyer that the tall father that the happy girl visited visited encouraged slept peacefully after dinner.,3,22,synthetic_center_embedding
The quiet scientist that the happy mother that the nervous scientist that the quiet farmer that the scientist that the cat greeted recognized blamed met followed sat calmly.,5,28,synthetic_center_embedding
The clever teacher arrived early before noon.,0,7,synthetic_center_embedding
The young manager that the curious student warned stood silently before noon.,1,12,synthetic_center_embedding
The old singer that the happy manager saw waited outside during class.,1,12,synthetic_center_embedding
The curious driver that the nervous dog that the quiet scientist that the curious singer questioned encouraged recognized smiled warmly near the station.,3,23,synthetic_center_embedding
The quiet scientist stood silently after dinner.,0,7,synthetic_center_embedding
